be capable of ～ing,…できる
cut down ～,～を切り詰める、～を切り倒す
take advantage of ～,～を利用する
make use of ～,～を利用する
make the best of ～,～を最大限に利用する
depend on ～,～に依存する
rely on ～,～に依存する
count on ～,～を当てにする
resort to ～,～に頼る、～に訴える
take ～ for granted,～を当然のことと思う
believe in ～,～の正しさ（存在）を信じる
call ～ back,～に折り返し電話をかける
hold on,そのまま待つ
as for ～,～はというと
as to ～,～に関して
regarding ～,～に関して
with regard to ～,～に関して
in regard to ～,～に関して
with respect to ～,～に関して
in respect to ～,～に関して
regardless of ～,～に関係なく
in spite of ～,～にもかかわらず
despite ～,～にもかかわらず
for all ～,～にもかかわらず
with all ～,～にもかかわらず
by oneself,一人で、自分だけで
for oneself,自分だけで
by means of ～,～によって
for the sake of ～,～のために
for the purpose of ～ing,～するために
with a view to ～ing,～するために
on purpose,故意に
first of all,まず第一に
to begin with,まず第一に
as follows,次のとおり
in fact,実際には、もっとはっきり言えば
to tell the truth,本当のことを言うと
to tell you the truth,本当のことを言うと
as a matter of fact,実際のところ
in the long run,長い目で見れば、結局
in short,要するに
in brief,要するに
in a word,要するに
in other words,言い換えると、つまり
that is to say,言い換えると、つまり
that is,言い換えると、つまり
what we call ～,いわゆる～
what is called ～,いわゆる～
so to speak,いわば
as it were,いわば
above all,とりわけ、特に
above all things,とりわけ、特に
in particular,特に
particularly,特に
especially,特に
～ and so on,～など
～ and so forth,～など
as a rule,一般に、普通は
as a general rule,一般に、普通は
in general,一般に、普通は
generally,一般に、普通は
generally speaking,一般的に言うと
in a sense,ある意味で
to some extent,ある程度
a bit,少し
a little bit,少し
little by little,少しずつ
more or less,多かれ少なかれ
not a few,少なからぬ数の
quite a few,少なからぬ数の
not a little,少なからぬ量の
such as ～,～のような
such A as B,BのようなA
A such as B,BのようなA
the same A as B,Bと同じA
as such,そのようなものとして
be prepared to …,…する準備ができている
be ready to …,…する用意ができている
be superior to ～,～より優れている
be inferior to ～,～より劣っている
be independent of ～,～から独立している
